symbol,timestamp_utc,spot,gamma_pin,distance_to_pin,gross_gex,net_gex,call_gex,put_gex,is_valid
NDX,2026-01-06 17:47:27.858820+00:00,25584.05293231346,25600.0,-15.947067686538503,147.4995410559411,102.24711300759483,124.87332703176797,22.626214024173137,True
DJI,2026-01-06 17:47:53.520531+00:00,49387.31,170.0,49217.31,9.021174278950096e-45,-9.021174278950096e-45,2.9610674100654757e-67,9.021174278950096e-45,False
RUT,2026-01-06 17:48:57.180546+00:00,2555.0413000000003,2530.0,25.04130000000032,97.36600170907133,5.480037996883119,51.42301985297722,45.9429818560941,True
SPX,2026-01-06 17:51:30.395536+00:00,6933.9800000000005,6935.0,-1.019999999999527,2561.527458573643,2104.018631054138,2332.7730448138905,228.75441375975262,False
NDX,2026-01-06 17:52:35.810233+00:00,25571.39153629678,25570.0,1.391536296778213,128.29104992985333,102.60543654949359,115.44824323967346,12.842806690179874,True
DJI,2026-01-06 17:53:00.613597+00:00,49408.450000000004,170.0,49238.450000000004,9.77975627874295e-45,-9.779756278742848e-45,5.076150597833433e-59,9.779756278742899e-45,False
RUT,2026-01-06 17:54:03.586423+00:00,2555.9401000000003,2530.0,25.940100000000257,97.0901058509439,5.923443929221229,51.50677489008257,45.58333096086134,True
SPX,2026-01-06 17:56:07.155477+00:00,6935.31,6935.0,0.3100000000004002,2415.3368313790816,2006.3431863010774,2210.8400088400795,204.49682253900218,False
NDX,2026-01-06 17:57:12.394076+00:00,25577.15066269693,25580.0,-2.8493373030687508,130.97100931390332,100.02660858241417,115.49880894815875,15.472200365744584,True
DJI,2026-01-06 17:57:38.134473+00:00,49408.99,170.0,49238.99,1.0132991664531173e-44,-1.0132986998017094e-44,2.3332570400762444e-51,1.0132989331274134e-44,False
RUT,2026-01-06 17:58:41.784477+00:00,2556.4503,2530.0,26.45029999999997,96.93304525376521,6.17390492137055,51.55347508756788,45.37957016619733,True
SPX,2026-01-06 18:01:14.982631+00:00,6935.03,6935.0,0.02999999999974534,2445.495362022778,2026.8758532199026,2236.1856076213403,209.30975440143754,False
NDX,2026-01-06 18:02:20.029202+00:00,25576.06007239946,25580.0,-3.9399276005387946,130.0491226564764,100.49095262048371,115.27003763848006,14.779085017996357,True
DJI,2026-01-06 18:02:48.965786+00:00,49385.62,170.0,49215.62,1.0144913356128137e-44,-1.0144913240642555e-44,5.774279149921308e-53,1.0144913298385346e-44,False
RUT,2026-01-06 18:03:53.134238+00:00,2555.9544,2530.0,25.954400000000078,97.08570812314875,5.930476142110905,51.50809213262983,45.57761599051892,True
SPX,2026-01-06 18:06:26.529972+00:00,6933.13,6935.0,-1.8699999999998909,2661.521513693047,2168.2590257763945,2414.8902697347207,246.63124395832602,False
NDX,2026-01-06 18:07:31.357989+00:00,25565.4184080152,25570.0,-4.581591984799161,127.64244737190836,102.86359668060737,115.25302202625787,12.389425345650496,True
DJI,2026-01-06 18:07:57.120766+00:00,49388.46,170.0,49218.46,1.0395989524837857e-44,-1.0379354478367205e-44,8.317523235326488e-48,1.0387672001602531e-44,False
RUT,2026-01-06 18:09:01.046705+00:00,2556.742,2530.0,26.74200000000019,96.84310368233389,6.316697931895227,51.579900807114555,45.26320287521933,True
SPX,2026-01-06 18:11:05.317488+00:00,6933.96,6935.0,-1.0399999999999636,2563.80546166224,2105.5042975886495,2334.6548796254447,229.15058203679536,False
NDX,2026-01-06 18:12:11.338118+00:00,25572.46303614499,25570.0,2.463036144989019,128.5053443274053,102.19787784130658,115.35161108435594,13.153733243049365,True
